,categoryName,createdOn,id,name,price,location.locationDescription,location.locationLatitude,location.locationLongitude
1816,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1817,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1818,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1819,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1820,For Sale - House,2024-08-04T07:49:43,14EC1352-D09E-5772-1FAF-0F414E15F6D1,"House For Sale at Manamaiju, Phutung",28000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1821,For Sale - House,2024-08-04T07:43:23,4E6BD198-1813-85A9-51AA-EFB381082EA8,"House For Sale at Tarkeshwar, Phutung",65000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1822,For Sale - House,2024-08-04T07:20:40,E8000EC6-D4D2-3DE5-58FB-03937A2311A2,House on Sale ,22500000,"kopan, Kapan, Kathmandu",27.736,85.3601
1823,For Sale - House,2024-08-04T07:15:19,F96B51C2-4EC5-AE00-94C9-05B4DEDED123,BUNGALOW HOUSE ON SALE AT Nakhu Bhaisepati Lalitpu,44000000,"Talim Kendra Marg, Lalitpur-25, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 13775, नेपाल",27.6493,85.305901
1824,For Sale - House,2024-08-04T07:11:43,9867978A-99C1-C6B1-96A2-739D228D20A4,Brand New Semi Bunglow House On Sale at Bhangal,30000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1825,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1826,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1827,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1828,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1829,For Sale - House,2024-08-04T07:01:21,0D457691-C98C-B960-6CEC-8D5F6A1A598C,"Semi Bunglow House For Sale at Bhangal, Kamitar",36000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1830,For Sale - House,2024-08-04T07:43:23,4E6BD198-1813-85A9-51AA-EFB381082EA8,"House For Sale at Tarkeshwar, Phutung",65000000,"F80, Tarakeshwar-07, तारकेश्वर, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",27.768,85.312302
1831,For Sale - House,2024-08-04T07:20:40,E8000EC6-D4D2-3DE5-58FB-03937A2311A2,House on Sale ,22500000,"kopan, Kapan, Kathmandu",27.736,85.3601
1832,For Sale - House,2024-08-04T07:15:19,F96B51C2-4EC5-AE00-94C9-05B4DEDED123,BUNGALOW HOUSE ON SALE AT Nakhu Bhaisepati Lalitpu,44000000,"Talim Kendra Marg, Lalitpur-25, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 13775, नेपाल",27.6493,85.305901
1833,For Sale - House,2024-08-04T07:11:43,9867978A-99C1-C6B1-96A2-739D228D20A4,Brand New Semi Bunglow House On Sale at Bhangal,30000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1834,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1835,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1836,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1837,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1838,For Sale - House,2024-08-04T07:01:21,0D457691-C98C-B960-6CEC-8D5F6A1A598C,"Semi Bunglow House For Sale at Bhangal, Kamitar",36000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1839,For Sale - House,2024-08-04T06:58:57,4D2087C2-1059-F7B5-52ED-BEA341E485D1,Semi Commercial House For Sale at Bhangal,35000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1840,For Sale - House,2024-08-04T07:20:40,E8000EC6-D4D2-3DE5-58FB-03937A2311A2,House on Sale ,22500000,"kopan, Kapan, Kathmandu",27.736,85.3601
1841,For Sale - House,2024-08-04T07:15:19,F96B51C2-4EC5-AE00-94C9-05B4DEDED123,BUNGALOW HOUSE ON SALE AT Nakhu Bhaisepati Lalitpu,44000000,"Talim Kendra Marg, Lalitpur-25, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 13775, नेपाल",27.6493,85.305901
1842,For Sale - House,2024-08-04T07:11:43,9867978A-99C1-C6B1-96A2-739D228D20A4,Brand New Semi Bunglow House On Sale at Bhangal,30000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1843,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1844,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1845,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1846,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1847,For Sale - House,2024-08-04T07:01:21,0D457691-C98C-B960-6CEC-8D5F6A1A598C,"Semi Bunglow House For Sale at Bhangal, Kamitar",36000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1848,For Sale - House,2024-08-04T06:58:57,4D2087C2-1059-F7B5-52ED-BEA341E485D1,Semi Commercial House For Sale at Bhangal,35000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1849,For Sale - House,2024-08-04T06:57:25,EC4C5298-8020-D7CE-E99C-7412E861BC08,"Brand New House On Sale at Bhangal, Budhanilkantha",26000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1850,For Sale - House,2024-08-04T07:15:19,F96B51C2-4EC5-AE00-94C9-05B4DEDED123,BUNGALOW HOUSE ON SALE AT Nakhu Bhaisepati Lalitpu,44000000,"Talim Kendra Marg, Lalitpur-25, ललितपुर, ललितपुर महानगरपालिका, ललितपुर, बाग्मती प्रदेश, 13775, नेपाल",27.6493,85.305901
1851,For Sale - House,2024-08-04T07:11:43,9867978A-99C1-C6B1-96A2-739D228D20A4,Brand New Semi Bunglow House On Sale at Bhangal,30000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1852,For Sale - House,2024-08-04T07:09:40,9148598E-D3F5-0E48-513B-3DA96DBC3287,"Brand New House On Sale at Bhangal, Budhanilkantha",19000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1853,For Sale - House,2024-08-04T07:07:07,95AB7382-F41A-88AB-CC56-2DFFE41D1E15,Brand New Semi Bunglow House For Sale at Bhangal,57500000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1854,For Sale - House,2024-08-04T07:05:33,919275FC-BAED-DE4A-CA83-A0D2049DC034,Semi Bunglow House For Sale at Bhangal,27000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.762423,85.35759
1855,For Sale - House,2024-08-04T07:03:26,00DD4E0E-8BE2-8666-ACC1-D24E48101A11,"House For Sale at Bhangal, Budhanilkantha",33000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
1856,For Sale - House,2024-08-04T07:01:21,0D457691-C98C-B960-6CEC-8D5F6A1A598C,"Semi Bunglow House For Sale at Bhangal, Kamitar",36000000,"Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",27.763,85.3582
